                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.34075,                0.39771,                0.27773,                0.82137,                0.99464,                0.98851,                0.99334,                0.96875,                0.99008,                0.99266,                0.99336,                0.91828,                0.26022,                0.35473,                0.22095,                0.79696,              0.0015248,              0.0015248,              0.0015248
                     26,                0.34019,                0.38824,                0.27497,                0.82173,                0.99459,                0.98879,                0.99317,                0.97057,                0.99508,                0.98898,                0.99338,                0.93883,                0.26326,                0.34206,                0.22447,                0.79806,               0.001505,               0.001505,               0.001505
                     27,                0.33207,                0.39637,                0.27007,                0.82063,                   0.99,                0.99292,                0.99323,                 0.9715,                   0.99,                0.99292,                0.99332,                0.92447,                 0.2567,                 0.3485,                0.21551,                0.79739,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.3338,                0.39263,                0.27197,                0.82006,                0.99174,                0.99242,                0.99328,                0.96531,                0.99076,                0.99144,                0.99333,                 0.9206,                0.25658,                0.35311,                0.22383,                0.79697,              0.0014654,              0.0014654,              0.0014654
                     29,                0.33505,                0.39873,                0.27518,                0.81998,                0.98901,                0.99291,                0.99322,                0.97205,                0.98926,                0.99315,                0.99327,                0.92853,                0.25783,                0.33637,                0.21574,                0.79884,              0.0014456,              0.0014456,              0.0014456
                     30,                0.32958,                0.38841,                0.26974,                0.82326,                0.98845,                0.99291,                 0.9932,                0.97122,                0.98845,                0.99291,                 0.9932,                0.93349,                0.25129,                0.33407,                 0.2101,                0.79799,              0.0014258,              0.0014258,              0.0014258
                     31,                0.32512,                0.39077,                0.26221,                0.81765,                0.99165,                0.99242,                0.99343,                0.97424,                0.99159,                0.99242,                0.99341,                0.92706,                0.24504,                0.33873,                0.20627,                0.79389,               0.001406,               0.001406,               0.001406
                     32,                0.32593,                 0.3926,                0.26342,                0.81625,                0.99305,                0.98924,                 0.9935,                0.97468,                0.99329,                0.98948,                0.99364,                0.93514,                0.24604,                0.35185,                0.21084,                0.79512,              0.0013862,              0.0013862,              0.0013862
                     33,                0.32438,                0.38671,                0.26316,                0.81935,                0.98971,                0.98776,                0.99312,                0.97085,                0.98971,                0.98776,                 0.9932,                 0.9317,                0.25595,                0.34356,                 0.2119,                0.79672,              0.0013664,              0.0013664,              0.0013664
                     34,                0.32664,                0.38192,                0.26226,                0.81867,                0.99463,                0.98777,                0.99305,                0.97169,                0.99463,                0.98777,                0.99338,                0.92402,                0.24738,                0.36135,                0.20781,                0.79492,              0.0013466,              0.0013466,              0.0013466
