                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                     90,                 0.2693,                0.31909,                0.21176,                0.80441,                 0.9924,                0.99054,                0.99325,                0.98165,                0.99171,                0.99095,                0.99328,                0.94157,                0.20327,                0.32049,                0.16192,                0.78608,              0.0002576,              0.0002576,              0.0002576,             1.7124e+09,                  10097
                     91,                0.24151,                0.28547,                0.19029,                0.79176,                0.99337,                0.98973,                0.99328,                0.98089,                0.99362,                0.98997,                0.99331,                0.93732,                0.20552,                0.31788,                0.16281,                0.78488,              0.0002378,              0.0002378,              0.0002378,             1.7124e+09,                  10165
                     92,                0.24023,                0.28645,                0.18894,                0.79366,                0.99093,                0.99242,                0.99325,                0.98223,                0.99111,                0.99266,                0.99326,                0.93883,                0.20248,                0.32196,                0.15614,                0.78499,               0.000218,               0.000218,               0.000218,             1.7124e+09,                  10223
                     93,                0.23892,                0.28707,                0.18832,                0.79195,                0.99071,                0.99071,                0.99318,                0.98175,                0.99096,                0.99095,                0.99322,                0.93903,                0.20468,                 0.3113,                0.15986,                0.78471,              0.0001982,              0.0001982,              0.0001982,             1.7124e+09,                  10318
                     94,                0.23805,                0.28466,                0.18776,                0.79338,                0.98904,                0.99288,                0.99317,                0.98196,                0.98928,                0.99309,                0.99317,                0.94014,                0.20585,                0.31523,                0.15898,                0.78543,              0.0001784,              0.0001784,              0.0001784,             1.7124e+09,                  10413
                     95,                0.23817,                0.28268,                0.18691,                0.79152,                0.98887,                0.99291,                 0.9932,                0.98258,                0.98923,                0.99315,                0.99323,                0.93698,                 0.2005,                0.31626,                0.15915,                0.78479,              0.0001586,              0.0001586,              0.0001586,             1.7124e+09,                  10507
                     96,                0.23548,                0.27988,                0.18488,                 0.7935,                 0.9913,                0.99022,                0.99323,                0.98313,                0.99154,                0.99046,                0.99324,                0.94061,                0.19992,                0.31465,                0.15279,                0.78465,              0.0001388,              0.0001388,              0.0001388,             1.7124e+09,                  10602
                     97,                 0.2324,                0.27422,                0.18149,                 0.7905,                0.99119,                0.99093,                0.99316,                0.98291,                0.99144,                0.99117,                 0.9932,                0.93879,                0.19895,                0.31822,                0.15286,                0.78452,               0.000119,               0.000119,               0.000119,             1.7124e+09,                  10696
                     98,                0.23226,                0.28374,                0.18301,                0.79148,                0.98952,                0.99267,                0.99319,                0.98329,                0.98976,                0.99292,                0.99315,                0.93929,                0.19721,                0.31449,                0.15648,                 0.7837,               9.92e-05,               9.92e-05,               9.92e-05,             1.7124e+09,                  10791
                     99,                0.23119,                 0.2796,                0.18176,                0.79101,                0.99066,                0.99217,                 0.9932,                0.98325,                0.99048,                0.99276,                0.99316,                0.94151,                0.19555,                0.31598,                0.15384,                0.78417,               7.94e-05,               7.94e-05,               7.94e-05,             1.7124e+09,                  10886
                    100,                0.23038,                0.27685,                0.17964,                0.79037,                0.99172,                0.99046,                0.99314,                0.98316,                0.99078,                0.99266,                0.99311,                0.93825,                0.19556,                0.31645,                0.15278,                0.78389,               5.96e-05,               5.96e-05,               5.96e-05,             1.7124e+09,                  10980
