                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                     23,                0.33887,                0.40215,                 0.2812,                0.82008,                0.99022,                 0.9909,                0.99325,                0.96854,                0.98974,                0.99041,                0.99328,                0.91849,                0.25411,                0.33533,                0.22223,                 0.7957,              0.0015842,              0.0015842,              0.0015842,             1.7124e+09,                   2558
                     24,                0.33892,                0.40602,                0.27979,                0.82049,                0.98723,                0.98802,                0.99306,                0.96344,                0.98723,                0.98802,                0.99309,                0.91066,                0.26218,                0.36703,                0.23403,                0.79702,              0.0015644,              0.0015644,              0.0015644,             1.7124e+09,                   2670
                     25,                0.33901,                0.38359,                0.27993,                0.82146,                0.99261,                0.98573,                0.99287,                0.96928,                0.99237,                0.98549,                  0.993,                0.92864,                0.26401,                0.37779,                0.23097,                0.79788,              0.0015446,              0.0015446,              0.0015446,             1.7124e+09,                   2780
                     26,                0.34082,                0.38658,                0.27835,                0.82227,                0.99267,                0.98899,                 0.9931,                 0.9725,                0.99292,                0.98924,                0.99316,                0.92347,                 0.2502,                0.36072,                0.21807,                0.79472,              0.0015248,              0.0015248,              0.0015248,             1.7124e+09,                   2892
                     27,                 0.3425,                 0.4075,                0.27477,                0.81918,                0.99116,                0.99242,                 0.9932,                0.96842,                0.99116,                0.99242,                0.99332,                0.91713,                0.25614,                0.34087,                0.21419,                0.79663,               0.001505,               0.001505,               0.001505,             1.7124e+09,                   3006
                     28,                 0.3263,                0.39913,                0.26606,                0.82114,                0.99447,                0.98777,                0.99264,                  0.968,                 0.9944,                0.98728,                0.99279,                  0.923,                0.25547,                0.33458,                0.22621,                0.79525,              0.0014852,              0.0014852,              0.0014852,             1.7124e+09,                   3117
                     29,                0.32591,                0.39417,                0.26775,                0.82107,                0.99163,                0.99022,                0.99279,                0.96995,                0.99163,                0.99022,                0.99294,                0.92773,                0.25313,                0.34576,                0.22357,                0.79672,              0.0014654,              0.0014654,              0.0014654,             1.7124e+09,                   3228
                     30,                0.32847,                0.38512,                0.26971,                0.81684,                0.99117,                0.99022,                0.99294,                0.96843,                0.99142,                0.99046,                0.99302,                0.91602,                0.24956,                0.36321,                0.22574,                0.79529,              0.0014456,              0.0014456,              0.0014456,             1.7124e+09,                   3342
                     31,                0.32857,                0.38241,                  0.267,                0.81703,                 0.9874,                0.98802,                 0.9929,                0.97229,                 0.9874,                0.98802,                0.99294,                0.92572,                0.25177,                 0.3425,                 0.2231,                0.79377,              0.0014258,              0.0014258,              0.0014258,             1.7124e+09,                   3456
                     32,                0.32466,                0.37154,                0.26349,                0.81834,                0.99361,                0.98814,                0.99332,                0.97001,                0.99385,                0.98844,                0.99355,                0.92055,                0.25791,                0.35467,                0.21513,                0.79639,               0.001406,               0.001406,               0.001406,             1.7124e+09,                   3567
                     33,                0.32887,                0.39367,                0.26428,                0.81694,                0.98496,                0.99274,                0.99263,                0.97121,                 0.9852,                0.99298,                0.99297,                0.93648,                0.25462,                0.33556,                0.20774,                0.79402,              0.0013862,              0.0013862,              0.0013862,             1.7124e+09,                   3679
                     34,                 0.3244,                0.36421,                 0.2603,                0.81978,                0.99143,                0.99042,                 0.9931,                0.97318,                0.99168,                0.99067,                0.99326,                0.92327,                0.24099,                0.34551,                0.20609,                0.79125,              0.0013664,              0.0013664,              0.0013664,             1.7124e+09,                   3792
                     35,                0.31574,                 0.3764,                0.25587,                0.81658,                0.99191,                0.98986,                0.99326,                0.97221,                0.99216,                0.99011,                0.99324,                0.92538,                0.24634,                0.33879,                0.20569,                0.79262,              0.0013466,              0.0013466,              0.0013466,             1.7124e+09,                   3904
                     36,                0.31661,                0.38457,                0.25361,                 0.8151,                0.99288,                0.98855,                0.99319,                0.97434,                0.99312,                0.98881,                0.99321,                 0.9298,                0.23873,                0.32808,                0.19997,                0.79355,              0.0013268,              0.0013268,              0.0013268,             1.7124e+09,                   4016
                     37,                0.32087,                 0.3916,                0.25793,                0.81934,                0.99459,                0.98869,                0.99296,                 0.9723,                0.99459,                0.98875,                0.99308,                0.92179,                0.23633,                0.34136,                0.20573,                0.79208,               0.001307,               0.001307,               0.001307,             1.7124e+09,                   4129
                     38,                 0.3117,                 0.3704,                0.25272,                0.81282,                0.99169,                0.99218,                0.99327,                0.97493,                 0.9912,                 0.9918,                0.99324,                0.92706,                0.24408,                0.33479,                  0.203,                0.79177,              0.0012872,              0.0012872,              0.0012872,             1.7124e+09,                   4243
                     39,                0.31666,                 0.3751,                0.25511,                0.81514,                0.99097,                0.98777,                0.99329,                0.97445,                0.99042,                0.98802,                0.99331,                0.93111,                0.24339,                0.33125,                0.20279,                0.79412,              0.0012674,              0.0012674,              0.0012674,             1.7124e+09,                   4356
