                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6739,                 1.0219,                   1.28,                0.94224,                0.99389,                0.91529,                0.98168,                0.88893,                0.99389,                0.91529,                0.98204,                0.85622,                0.44266,                0.53853,                 1.3296,                0.81522,             0.00065517,             0.00065517,             0.00065517
                      2,                0.48864,                0.59324,                0.53554,                0.85615,                0.99335,                0.98581,                0.99295,                0.92496,                0.99335,                0.98581,                0.99267,                0.86721,                0.38491,                0.54077,                0.60773,                0.82408,              0.0013088,              0.0013088,              0.0013088
                      3,                0.47886,                0.57894,                0.48842,                0.85548,                0.99087,                0.99193,                0.99054,                0.88295,                0.99063,                0.99169,                0.99015,                0.84233,                0.45334,                0.49546,                0.54894,                0.84047,              0.0019491,              0.0019491,              0.0019491
                      4,                0.48939,                0.55536,                0.47386,                0.85816,                0.99386,                0.98777,                0.99291,                0.92819,                0.99385,                0.98788,                0.99281,                 0.8654,                0.34942,                 0.5128,                0.40889,                0.81924,              0.0019406,              0.0019406,              0.0019406
                      5,                0.44261,                0.55388,                0.43451,                0.84711,                0.99474,                0.98679,                0.99317,                  0.934,                0.99499,                0.98704,                 0.9933,                0.89374,                0.33567,                0.44007,                0.37849,                0.81504,              0.0019208,              0.0019208,              0.0019208
