epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3668.38,0.71877,1.32151,0.4446,0.91261,0.99239,0.99416,0.99299,0.78563,0.98739,0.98915,0.98162,0.71687,0.76866,1.34706,0.44246,0.924,0.0014258,0.0014258,0.0014258
31,3792.02,0.6941,1.29451,0.43491,0.90647,0.98992,0.99165,0.99196,0.80398,0.98659,0.98831,0.98103,0.72306,0.72793,1.34203,0.43488,0.9208,0.001406,0.001406,0.001406
32,3908.33,0.71937,1.33806,0.43899,0.91793,0.99074,0.99249,0.99251,0.80228,0.98786,0.98915,0.98256,0.72363,0.73588,1.32917,0.42517,0.92082,0.0013862,0.0013862,0.0013862
33,4029.17,0.70907,1.34736,0.43513,0.91605,0.99,0.99159,0.99257,0.81879,0.98374,0.98497,0.98088,0.725,0.72295,1.34954,0.41486,0.92541,0.0013664,0.0013664,0.0013664
34,4146.4,0.68652,1.27635,0.43391,0.90513,0.98983,0.99165,0.99259,0.81097,0.9857,0.98748,0.98316,0.72931,0.73897,1.31139,0.41762,0.92284,0.0013466,0.0013466,0.0013466
35,4264.27,0.7018,1.33051,0.43189,0.91101,0.98989,0.99165,0.99193,0.82234,0.98489,0.98664,0.98018,0.72537,0.70962,1.30214,0.40798,0.91392,0.0013268,0.0013268,0.0013268
36,4383.34,0.69184,1.32684,0.42269,0.91376,0.98987,0.99165,0.9919,0.80337,0.9857,0.98748,0.98146,0.73338,0.72716,1.31148,0.41324,0.92264,0.001307,0.001307,0.001307
37,4499.89,0.69704,1.30779,0.42528,0.91404,0.98989,0.99165,0.99218,0.79995,0.98406,0.98581,0.98132,0.71187,0.7394,1.37889,0.41596,0.91973,0.0012872,0.0012872,0.0012872
38,4617.19,0.68265,1.27259,0.41842,0.91103,0.98992,0.99165,0.99268,0.80698,0.98575,0.98748,0.98308,0.73245,0.72804,1.32495,0.39193,0.91724,0.0012674,0.0012674,0.0012674
39,4736.86,0.68528,1.30955,0.41667,0.90988,0.9899,0.99165,0.992,0.79805,0.98491,0.98664,0.98111,0.72383,0.72646,1.32774,0.41253,0.92035,0.0012476,0.0012476,0.0012476
40,4858.99,0.66399,1.21996,0.40756,0.9027,0.98955,0.99165,0.99203,0.80103,0.98557,0.98748,0.98223,0.71354,0.72978,1.32278,0.4149,0.91664,0.0012278,0.0012278,0.0012278
