epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,838.454,0.6187,0.89409,1.1218,0.9052,0.91143,0.90479,0.93875,0.87224,0.91143,0.90479,0.93865,0.78038,0.40497,0.40509,0.89418,0.81936,0.000660767,0.000660767,0.000660767
2,1723.63,0.4434,0.56646,0.5864,0.83104,0.82359,0.97346,0.92328,0.87661,0.82359,0.97346,0.92328,0.75388,0.34039,0.41075,0.59074,0.80938,0.00131429,0.00131429,0.00131429
3,2621.65,0.4416,0.54688,0.54794,0.83124,0.92523,0.90925,0.96523,0.9061,0.92523,0.90925,0.96471,0.80073,0.37541,0.43415,0.48482,0.80338,0.00195462,0.00195462,0.00195462
4,3522.4,0.40992,0.53155,0.50045,0.82477,0.88899,0.93739,0.94,0.88507,0.88899,0.93739,0.9391,0.75286,0.35066,0.40206,0.51009,0.79156,0.0019406,0.0019406,0.0019406
5,4396.48,0.38531,0.50169,0.46551,0.82212,0.90362,0.93024,0.97211,0.93306,0.90362,0.93024,0.97211,0.79927,0.30834,0.38672,0.42737,0.7761,0.0019208,0.0019208,0.0019208
6,5234.04,0.37078,0.4811,0.4404,0.81862,0.93031,0.91084,0.97717,0.9359,0.93031,0.91084,0.97714,0.81811,0.30273,0.33777,0.39386,0.76611,0.001901,0.001901,0.001901
7,6078.85,0.36663,0.48198,0.42493,0.81755,0.9239,0.92285,0.97716,0.9419,0.9239,0.92285,0.97718,0.82003,0.31363,0.38089,0.39177,0.77373,0.0018812,0.0018812,0.0018812
8,6925.47,0.36847,0.48964,0.41332,0.81921,0.92898,0.92832,0.97568,0.94668,0.92898,0.92832,0.97557,0.80885,0.28477,0.37388,0.3553,0.76207,0.0018614,0.0018614,0.0018614
9,7767.04,0.34567,0.45853,0.3921,0.81385,0.81357,0.96771,0.95259,0.91869,0.81382,0.96773,0.95265,0.81256,0.28118,0.34289,0.45008,0.76209,0.0018416,0.0018416,0.0018416
10,8617.6,0.34391,0.45807,0.37838,0.81232,0.94555,0.92708,0.9833,0.94808,0.94555,0.92708,0.9832,0.83094,0.29122,0.37375,0.34334,0.76228,0.0018218,0.0018218,0.0018218
11,9455.95,0.34006,0.46912,0.38539,0.81183,0.95472,0.91508,0.98274,0.95563,0.95472,0.91508,0.98275,0.81829,0.2828,0.3439,0.35008,0.76249,0.001802,0.001802,0.001802
12,10303.2,0.34284,0.4609,0.38835,0.81392,0.94733,0.93203,0.9805,0.95022,0.94733,0.93203,0.9805,0.82298,0.26972,0.36442,0.37793,0.76353,0.0017822,0.0017822,0.0017822
13,11148.6,0.33389,0.46618,0.3729,0.81247,0.94588,0.93732,0.98154,0.95316,0.94588,0.93732,0.98154,0.82381,0.27708,0.35635,0.34113,0.76457,0.0017624,0.0017624,0.0017624
14,11997,0.32845,0.46046,0.3725,0.8108,0.95579,0.92752,0.97412,0.94291,0.95579,0.92752,0.97398,0.81677,0.2771,0.33878,0.37716,0.75843,0.0017426,0.0017426,0.0017426
15,12847.6,0.32577,0.45045,0.36306,0.81036,0.93786,0.93005,0.98263,0.9492,0.93786,0.93005,0.98263,0.8347,0.282,0.32499,0.32874,0.76039,0.0017228,0.0017228,0.0017228
16,13690.4,0.32179,0.44555,0.35656,0.80919,0.96227,0.91846,0.98436,0.96151,0.96227,0.91846,0.98433,0.84299,0.25448,0.33559,0.30364,0.7542,0.001703,0.001703,0.001703
17,14543.3,0.31855,0.44141,0.3424,0.80947,0.95138,0.93432,0.98095,0.95479,0.95138,0.93432,0.98095,0.83327,0.26615,0.31434,0.31837,0.7554,0.0016832,0.0016832,0.0016832
18,15393.9,0.31764,0.45509,0.34485,0.80985,0.97581,0.8904,0.97609,0.94662,0.97581,0.8904,0.97607,0.81301,0.27515,0.35149,0.35405,0.75779,0.0016634,0.0016634,0.0016634
19,16232.8,0.31744,0.43768,0.34961,0.80763,0.95866,0.9398,0.98228,0.95751,0.95866,0.9398,0.98228,0.8253,0.26327,0.32712,0.32227,0.75653,0.0016436,0.0016436,0.0016436
20,17073.6,0.31111,0.4257,0.33494,0.80876,0.96439,0.93237,0.98531,0.96212,0.96439,0.93237,0.98527,0.81525,0.24728,0.35043,0.31012,0.75421,0.0016238,0.0016238,0.0016238
21,17920.2,0.30923,0.42787,0.33494,0.80667,0.95811,0.92726,0.98232,0.956,0.95811,0.92726,0.98232,0.82366,0.2644,0.32494,0.30123,0.75699,0.001604,0.001604,0.001604
22,18766.3,0.30744,0.43676,0.3315,0.80622,0.95634,0.93201,0.98455,0.96517,0.95634,0.93201,0.98455,0.83762,0.25567,0.31276,0.29882,0.75907,0.0015842,0.0015842,0.0015842
23,19609.8,0.30152,0.42561,0.3273,0.80493,0.95706,0.93415,0.98073,0.96245,0.95706,0.93415,0.98073,0.83606,0.24895,0.32079,0.29493,0.75612,0.0015644,0.0015644,0.0015644
24,20461.7,0.30209,0.42666,0.3209,0.80632,0.9565,0.93079,0.9848,0.96608,0.9565,0.93079,0.98479,0.83763,0.2488,0.32326,0.29756,0.75599,0.0015446,0.0015446,0.0015446
25,21313.9,0.30183,0.42239,0.32383,0.80603,0.95689,0.9327,0.98492,0.96733,0.95689,0.9327,0.98489,0.84235,0.24851,0.31436,0.31353,0.75349,0.0015248,0.0015248,0.0015248
26,22155.3,0.29356,0.42061,0.31236,0.80248,0.88105,0.95075,0.97963,0.95797,0.88105,0.95075,0.97963,0.84081,0.25073,0.33149,0.30838,0.75195,0.001505,0.001505,0.001505
27,23004.6,0.29375,0.41905,0.31074,0.8055,0.96617,0.94244,0.98886,0.97153,0.96617,0.94244,0.9888,0.85315,0.24175,0.30202,0.27185,0.75333,0.0014852,0.0014852,0.0014852
28,23850.2,0.29179,0.41804,0.30704,0.80334,0.95234,0.94562,0.98213,0.96581,0.95234,0.94562,0.98211,0.85098,0.23859,0.31402,0.28672,0.75373,0.0014654,0.0014654,0.0014654
29,24694.9,0.29456,0.41348,0.31209,0.80688,0.96333,0.94597,0.98819,0.97253,0.96333,0.94597,0.98819,0.85258,0.23539,0.31744,0.27052,0.75213,0.0014456,0.0014456,0.0014456
30,25540.4,0.28724,0.42221,0.30181,0.80466,0.96379,0.95399,0.98868,0.97179,0.96379,0.95399,0.98869,0.85067,0.2331,0.31541,0.25986,0.75068,0.0014258,0.0014258,0.0014258
31,26341.5,0.28698,0.41552,0.30673,0.80402,0.96331,0.94262,0.98756,0.97073,0.96331,0.94262,0.98753,0.85383,0.23757,0.30685,0.2709,0.75411,0.001406,0.001406,0.001406
32,27187.3,0.28526,0.41255,0.30378,0.80271,0.96284,0.95599,0.98896,0.97145,0.96284,0.95599,0.98896,0.8469,0.23283,0.31407,0.25211,0.75104,0.0013862,0.0013862,0.0013862
